Pregunta    Respuesta
¿Qué es la orientación vocacional?	Es el proceso para facilitar la elección de una carrera o rol profesional
¿Dónde puedo hacer prácticas profesionales?	Puedes revisar la oferta de prácticas profesionale a través del Sistema de Información Automatizada de Prácticas Profesionales (SIAPP)
¿Cuándo salen las convocatorias para ingresar a licenciatura?	Son dos: Convocatoria en Enero, ingreso en Agosto a los Sistemas Escolarizado y Universidad Abierta y Educación a Distancia (SUAyED), modalidades Abierta y a Distancia. Y convocatoria en Septiembre, ingreso al Sistema Universidad Abierta y Educación a Distancia (SUAyED), modalidades Abierta y a Distancia.
¿Dónde puedo sacar mi credencial de exalumno?	En TU TIENDA UNAM (cerca de metro universidad), sólo debes proporcionar: número de cuenta, identificación oficial y cubrir el costo en efectivo (100$)
¿Qué área o materias debo elegir en el último año del bachillerato?	Recuerda que debes elegir las materias relacionadas con el área de la carrera que deseas estudiar, ya que te servirá para reafirmar tu elección y te permitirá tener conocimientos generales básicos para el inicio de tu carrera.
¿Qué son lás áreas de conocimiento?	Son la forma en que se clasifican las carreras de acuerdo al campo de conocimiento al que pertenecen: 1. Ciencias Físico-Matemáticas y de las Ingenierías; 2. Ciencias Biológicas, 3. Químicas y de la Salud; 4. Ciencias Sociales y Humanidades y Artes.
¿Qué premios y reconocimientos existen para estudiantes?	La DGOAE otorga los siguientes reconocimientos y premios: Talento Bachiller Universitario, Dr Gustavo Baz Prada (Servicio Social), Presea Ingeniero Bernardo Quintana Arrioja (Valores y cualidades), Reconocimiento a Estudiantes de Alto Rendimiento Académico (Mejor Promedio).
¿Tienes números o teléfonos de emergencia médica?	Puedes marcar al 55527-12222 si tienes una emergencia médica
¿Tienes el número o teléfono de los bomberos?	Puedes marcar al 55576-83700 para comunicarte con los bomberos
¿Hay servicios de ayuda a comunidades trans?	Puedes encontrar Atención a comunidades trans, con servicios de medicina general, especializaciones clínicas y psicología en Plan de San Luis esquina Manuel Carpio, colonia Santo Tomás, Plutarco Elías Calles, Miguel Hidalgo, 11350 Ciudad de México, CDMX con un horario de Lunes a viernes de 8:00 a 21:00 hrs.
¿En dónde puedo encontrar orientación sobre el VIH sida, su prevención y atención?	Para recibir orientación sobre el VIH sida podrías visitar el Centro para la Prevención y Atención Integral del VIH Sida de la Ciudad de México, ubicado en Avenida Combate de Celaya sin número Entre Campaña de Ébano y Francisco Rivera Colonia Unidad Habitacional Vicente Guerrero CP 09730, Alcaldía Iztapalapa, Ciudad de México Referencia: Clínica 47 del IMSS y CETIS 53 del IPN
¿En dónde podría recibir atención psicológica vía telefónica?	Puedes recibir atención psicológica vía telefónica en la Línea UAM marcando al número 55 5804 6444 de Lunes a Viernes 9:00 a 17 hrs, o Línea de la vida al 800 911 2000 de Lunes a Domingo 24 hrs.
¿En dónde puedo obtener informes sobre las actividades deportivas y recreativas de la UNAM?	Para informes sobre actividades deportivas y recreativas podrías visitar la Dirección General de Actividades Deportivas y Recreativas, ubicada en el Lado poniente del estadio olímpico, Ciudad Universitaria o marcar a los números telefónicos 555622 0491 y 555622 0047 con extensión 40418
¿En dónde puedo interponer una denuncia universitaria?	Comunícate al 800-2264725 para más información sobre denuncias universitarias.
¿A dónde me puedo comunicar si estoy en una situación de riesgo o necesito auxilio en las instalaciones universitarias?	Si estás en una situación de riesgo o necesitas auxilio estando en las instalaciones universitarias, puedes comunicar a Auxilio UNAM mediante cualquiera de los siguientes números telefónicos: Directo 55561-61922, 55561-60967 Extensiones 55562-22430, 22431, 22432 y 22433
¿En dónde podría reportar una fuga de gas?	Para reportar fugas de gas podrías marcar a cualquiera de los siguientes números: 55527-70422, 55527-70425
¿Cómo me comunico con la Cruz Roja?	Podrías comunicarte con la Cruz Roja al número 55539-51111, extensiones 124 y 173
¿En dónde me puedo comunicar para una urgencia médica?	Para una urgencia médica puedes comunicarte con el Escuadrón de Rescate y Urgencias marcando al número telefónico 55558-85100, extensiones 8805, 8321, 8106
¿En dónde me puedo comunicar para recibir atención psicológica todo el año?	Puedes llamar al Consejo ciudadano para la Seguridad y Justicia de la Ciudad de México al número 55 55 33 5533 365 días, 24 hrs.
¿En dónde puedo recibir apoyo psicológico, jurídico o médico?	Puedes comunicarte a Locatel para recibir servicios médicos, psicológicos y jurídicos. El número telefónico es: 55 5658 1111 356 días, 24 hrs.
¿El IMSS da orientación médica en salud mental?	Puedes obtener orientación médica en salud mental vía telefónica marcando el número 800 2222 668 marcación 4 de Lunes a Viernes de 8 a 20 hrs.
¿En dónde puedo reportar de manera anónima acciones que pongan en riesgo la seguridad de las instalaciones?	Puedes reportar situaciones o eventos de manera anónima ante la comisión de conductas contrarias a la seguridad en las instalaciones de la Universidad con la Línea de reacción PUMA marcando al número telefónico 55562-26464
¿Cómo puedo contactar a Protección Civil?	Puedes contactar a Protección Civil marcando al número telefónico 55562-26556
¿En dónde podría hacerme la prueba de VIH de manera gratuita?	Para una prueba de VIH gratuita, podrías acudir a Aids Healthcare Foundation (AHF) México en Darwin 31, Col. Anzures, Ciudad de México. De Lunes a viernes de 12:00 a 17:30hrs. Tel. Oficina: 55 5264 8208, Wellness Center CDMX: 5552079081
